onet_soc_2010;element_id;element_name;date;source;value
11-1011.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 06;Incumbent;2.3668
11-1011.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 06;Incumbent;1.6286
11-1011.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 06;Incumbent;1.3471
11-1011.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 06;Incumbent;1.4901
11-1011.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 06;Incumbent;1.4683
11-1011.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 06;Incumbent;1.4365
11-1011.00;4.C.2.c.1.a;Exposed to Radiation;Jun 06;Incumbent;1
11-1011.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 06;Incumbent;1.0091
11-1011.00;4.C.2.c.1.c;Exposed to High Places;Jun 06;Incumbent;1.324
11-1011.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 06;Incumbent;1.4657
11-1011.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 06;Incumbent;1.4885
11-1011.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 06;Incumbent;1.3397
11-1021.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 08;Incumbent;3.0502
11-1021.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 08;Incumbent;1.8162
11-1021.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 08;Incumbent;1.792
11-1021.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 08;Incumbent;2.1097
11-1021.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 08;Incumbent;1.3172
11-1021.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 08;Incumbent;1.1496
11-1021.00;4.C.2.c.1.a;Exposed to Radiation;Jun 08;Incumbent;1.0064
11-1021.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 08;Incumbent;1.6764
11-1021.00;4.C.2.c.1.c;Exposed to High Places;Jun 08;Incumbent;1.7616
11-1021.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 08;Incumbent;1.4009
11-1021.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 08;Incumbent;1.6783
11-1021.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 08;Incumbent;2.1918
11-2011.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 10;Incumbent;2.4873
11-2011.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 10;Incumbent;1.2938
11-2011.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 10;Incumbent;1.3911
11-2011.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 10;Incumbent;1.1242
11-2011.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 10;Incumbent;1.5341
11-2011.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 10;Incumbent;1.03
11-2011.00;4.C.2.c.1.a;Exposed to Radiation;Jun 10;Incumbent;1
11-2011.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 10;Incumbent;1.1744
11-2011.00;4.C.2.c.1.c;Exposed to High Places;Jun 10;Incumbent;1.1195
11-2011.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 10;Incumbent;1.03
11-2011.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 10;Incumbent;1.1052
