onet_soc_2010;element_id;element_name;value;date;source
11-1011.00;2.A.1.a;Reading Comprehension;4.38;Jun 10;Analyst
11-1011.00;2.A.1.b;Active Listening;4.38;Jun 10;Analyst
11-1011.00;2.A.1.c;Writing;4.12;Jun 10;Analyst
11-1011.00;2.A.1.d;Speaking;4.38;Jun 10;Analyst
11-1011.00;2.A.1.e;Mathematics;3;Jun 10;Analyst
11-1011.00;2.A.1.f;Science;1.62;Jun 10;Analyst
11-1011.00;2.A.2.a;Critical Thinking;4.38;Jun 10;Analyst
11-1011.00;2.A.2.b;Active Learning;4;Jun 10;Analyst
11-1011.00;2.A.2.c;Learning Strategies;3.38;Jun 10;Analyst
11-1011.00;2.A.2.d;Monitoring;4.12;Jun 10;Analyst
11-1011.00;2.B.1.a;Social Perceptiveness;4.12;Jun 10;Analyst
11-1011.00;2.B.1.b;Coordination;4.25;Jun 10;Analyst
11-1011.00;2.B.1.c;Persuasion;4.12;Jun 10;Analyst
11-1011.00;2.B.1.d;Negotiation;4;Jun 10;Analyst
11-1011.00;2.B.1.e;Instructing;3.25;Jun 10;Analyst
11-1011.00;2.B.1.f;Service Orientation;3.25;Jun 10;Analyst
11-1011.00;2.B.2.i;Complex Problem Solving;4.5;Jun 10;Analyst
11-1011.00;2.B.3.a;Operations Analysis;3.5;Jun 10;Analyst
11-1011.00;2.B.3.b;Technology Design;1.75;Jun 10;Analyst
11-1011.00;2.B.3.c;Equipment Selection;1;Jun 10;Analyst
11-1011.00;2.B.3.d;Installation;1;Jun 10;Analyst
11-1011.00;2.B.3.e;Programming;1.88;Jun 10;Analyst
11-1011.00;2.B.3.g;Operation Monitoring;2.25;Jun 10;Analyst
11-1011.00;2.B.3.h;Operation and Control;1.88;Jun 10;Analyst
11-1011.00;2.B.3.j;Equipment Maintenance;1;Jun 10;Analyst
11-1011.00;2.B.3.k;Troubleshooting;1;Jun 10;Analyst
11-1011.00;2.B.3.l;Repairing;1;Jun 10;Analyst
11-1011.00;2.B.3.m;Quality Control Analysis;1.62;Jun 10;Analyst
11-1011.00;2.B.4.e;Judgment and Decision Making;4.5;Jun 10;Analyst
11-1011.00;2.B.4.g;Systems Analysis;4.12;Jun 10;Analyst
11-1011.00;2.B.4.h;Systems Evaluation;4.12;Jun 10;Analyst
11-1011.00;2.B.5.a;Time Management;4.25;Jun 10;Analyst
11-1011.00;2.B.5.b;Management of Financial Resources;4.12;Jun 10;Analyst
11-1011.00;2.B.5.c;Management of Material Resources;3.62;Jun 10;Analyst
11-1011.00;2.B.5.d;Management of Personnel Resources;4.25;Jun 10;Analyst
11-1021.00;2.A.1.a;Reading Comprehension;4;Jun 10;Analyst
11-1021.00;2.A.1.b;Active Listening;4;Jun 10;Analyst
11-1021.00;2.A.1.c;Writing;3.38;Jun 10;Analyst
11-1021.00;2.A.1.d;Speaking;4;Jun 10;Analyst
11-1021.00;2.A.1.e;Mathematics;2.25;Jun 10;Analyst
11-1021.00;2.A.1.f;Science;1.62;Jun 10;Analyst
11-1021.00;2.A.2.a;Critical Thinking;3.88;Jun 10;Analyst
11-1021.00;2.A.2.b;Active Learning;3.5;Jun 10;Analyst
11-1021.00;2.A.2.c;Learning Strategies;2.75;Jun 10;Analyst
11-1021.00;2.A.2.d;Monitoring;3.75;Jun 10;Analyst
11-1021.00;2.B.1.a;Social Perceptiveness;3.62;Jun 10;Analyst
11-1021.00;2.B.1.b;Coordination;3.62;Jun 10;Analyst
11-1021.00;2.B.1.c;Persuasion;3.38;Jun 10;Analyst
11-1021.00;2.B.1.d;Negotiation;3.5;Jun 10;Analyst
11-1021.00;2.B.1.e;Instructing;3.12;Jun 10;Analyst
11-1021.00;2.B.1.f;Service Orientation;3.12;Jun 10;Analyst
11-1021.00;2.B.2.i;Complex Problem Solving;3.5;Jun 10;Analyst
11-1021.00;2.B.3.a;Operations Analysis;3.25;Jun 10;Analyst
11-1021.00;2.B.3.b;Technology Design;1.62;Jun 10;Analyst
11-1021.00;2.B.3.c;Equipment Selection;1.25;Jun 10;Analyst
11-1021.00;2.B.3.d;Installation;1.12;Jun 10;Analyst
11-1021.00;2.B.3.e;Programming;1.38;Jun 10;Analyst
11-1021.00;2.B.3.g;Operation Monitoring;2.88;Jun 10;Analyst
11-1021.00;2.B.3.h;Operation and Control;2.12;Jun 10;Analyst
11-1021.00;2.B.3.j;Equipment Maintenance;1;Jun 10;Analyst
11-1021.00;2.B.3.k;Troubleshooting;1.88;Jun 10;Analyst
11-1021.00;2.B.3.l;Repairing;1;Jun 10;Analyst
11-1021.00;2.B.3.m;Quality Control Analysis;2.38;Jun 10;Analyst
11-1021.00;2.B.4.e;Judgment and Decision Making;3.5;Jun 10;Analyst
11-1021.00;2.B.4.g;Systems Analysis;3.12;Jun 10;Analyst
11-1021.00;2.B.4.h;Systems Evaluation;3.12;Jun 10;Analyst
11-1021.00;2.B.5.a;Time Management;3.5;Jun 10;Analyst
11-1021.00;2.B.5.b;Management of Financial Resources;2.88;Jun 10;Analyst
